Time,Error,Speed,Proportional,Integral,Derivative
7981,-188.99,-24.77,-56.7,0,-50
8004,-188.99,-24.77,-56.7,0,0
8027,-188.99,-24.77,-56.7,0,0
8050,-188.99,-24.77,-56.7,0,0
8073,-187.99,-24.77,-56.4,0,50
8096,-185.19,-24.78,-55.56,0,140
8119,-180.19,-24.78,-54.06,0,250
8142,-171.99,-24.79,-51.6,0,410
8165,-166.99,-24.8,-50.1,0,250
8188,-161.39,-24.81,-48.42,0,280
8211,-151.99,-22.28,-45.6,-3.04,470
8234,-145.19,-24.83,-43.56,-3.04,340
8258,-138.79,-24.83,-41.64,-3.04,320
8281,-129.79,-16.77,-38.94,-5.64,450
8304,-124.39,-24.3,-37.32,-8.12,270
8327,-118.79,-22.27,-35.64,-10.5,280
8351,-113.59,-21.84,-34.08,-12.77,260
8375,-105.19,-11.45,-31.56,-14.87,420
8399,-99.99,-18.01,-30,-16.87,260
8423,-94.99,-17.12,-28.5,-18.77,250
8447,-87.19,-7.89,-26.16,-20.52,390
8471,-82.79,-15.17,-24.84,-22.17,220
8495,-78.59,-14.5,-23.58,-23.75,210
8519,-72.59,-8.29,-21.78,-25.2,300
8543,-69.19,-13.85,-20.76,-26.58,170
8567,-66.39,-14.59,-19.92,-27.91,140
8591,-62.39,-10.47,-18.72,-29.16,200
8615,-59.79,-13.26,-17.94,-30.35,130
8639,-57.19,-12.55,-17.16,-31.5,130
8664,-52.99,-7.35,-15.9,-32.56,210
8688,-49.99,-9.51,-15,-33.56,150
8712,-47.19,-9.23,-14.16,-34.5,140
8736,-42.39,-2.84,-12.72,-35.35,240
8760,-39.59,-7.05,-11.88,-36.14,140
8785,-36.99,-6.81,-11.1,-36.88,130
8808,-33.79,-4.39,-10.14,-37.55,160
8832,-31.99,-7.39,-9.6,-38.19,90
8856,-30.99,-9.13,-9.3,-38.81,50
8880,-29.19,-6.62,-8.76,-39.4,90
8904,-27.99,-7.79,-8.4,-39.96,60
8928,-26.99,-8.03,-8.1,-40.5,50
8952,-24.79,-4.4,-7.44,-40.99,110
8976,-23.19,-5.44,-6.96,-41.46,80
9001,-21.39,-4.43,-6.42,-41.89,90
9025,-18.59,-1.11,-5.58,-42.26,140
9049,-16.79,-3.09,-5.04,-42.59,90
9073,-15.19,-3.13,-4.56,-42.9,80
9097,-13.19,-1.55,-3.96,-43.16,100
9121,-12.39,-4.32,-3.72,-43.41,40
9145,-11.59,-4.1,-3.48,-43.64,40
9169,-10.59,-3.31,-3.18,-43.85,50
9193,-10.39,-5.26,-3.12,-44.06,10
9217,-9.99,-4.65,-3,-44.26,20
9241,-9.19,-3.42,-2.76,-44.44,40
9265,-8.59,-3.75,-2.58,-44.61,30
9289,-7.99,-3.58,-2.4,-44.77,30
9313,-6.39,-0.61,-1.92,-44.9,80
9338,-5.39,-1.82,-1.62,-45.01,50
9361,-5.39,-4.32,-1.62,-45.12,0
9386,-5.59,-4.89,-1.68,-45.23,-10
9410,-5.59,-4.4,-1.68,-45.34,0
9434,-5.59,-4.4,-1.68,-45.45,0
9458,-5.59,-4.41,-1.68,-45.57,0
9482,-5.39,-3.86,-1.62,-45.67,10
9506,-5.19,-3.8,-1.56,-45.78,10
9530,-4.19,-1.51,-1.26,-45.86,50
9554,-3.59,-2.33,-1.08,-45.93,30
9578,-2.99,-2.16,-0.9,-45.99,30
9604,-1.59,0.26,-0.48,-46.02,70
9628,-0.99,-1.56,-0.3,-46.04,30
