Time,Error,Speed,Proportional,Integral,Derivative
18021,440.74,39.74,66.11,0,50
18414,827.47,39.5,124.12,0,50
18440,819.87,39.51,122.98,0,-380
18463,807.27,39.52,121.09,0,-630
18487,798.07,39.52,119.71,0,-460
18511,788.87,39.53,118.33,0,-460
18535,773.67,39.54,116.05,0,-760
18559,764.27,39.54,114.64,0,-470
18583,754.87,39.55,113.23,0,-470
18607,739.27,39.56,110.89,0,-780
18631,729.87,39.56,109.48,0,-470
18655,720.27,39.57,108.04,0,-480
18679,705.07,39.58,105.76,0,-760
18703,695.87,39.58,104.38,0,-460
18727,686.47,39.59,102.97,0,-470
18753,671.27,39.6,100.69,0,-760
18777,662.07,39.6,99.31,0,-460
18801,652.67,39.61,97.9,0,-470
18825,637.47,39.62,95.62,0,-760
18849,628.07,39.62,94.21,0,-470
18873,618.87,39.63,92.83,0,-460
18897,604.67,39.64,90.7,0,-710
18922,595.47,39.64,89.32,0,-460
18947,581.47,39.65,87.22,0,-700
18972,572.27,39.66,85.84,0,-460
18996,563.07,39.66,84.46,0,-460
19020,551.27,39.67,82.69,0,-590
19044,534.87,39.68,80.23,0,-820
19068,525.47,39.68,78.82,0,-470
19092,516.07,39.69,77.41,0,-470
19116,501.87,39.7,75.28,0,-710
19142,492.67,39.7,73.9,0,-460
19166,478.67,39.71,71.8,0,-700
19190,469.27,39.72,70.39,0,-470
19214,459.67,39.72,68.95,0,-480
19238,445.47,38.69,66.82,8.91,-710
19262,435.87,39.74,65.38,8.91,-480
19286,426.67,39.74,64,8.91,-460
19310,410.47,29.68,61.57,17.12,-810
19334,401.07,39.76,60.16,17.12,-470
19358,391.47,39.77,58.72,17.12,-480
19382,377.87,30.22,56.68,24.68,-680
19406,369.27,39.15,55.39,32.06,-430
19430,360.67,38.08,54.1,39.28,-430
19454,345.87,23.67,51.88,46.19,-740
19478,337.47,35.41,50.62,52.94,-420
19504,325.87,27.46,48.88,59.46,-580
19528,317.67,33.23,47.65,65.81,-410
19552,309.47,32.18,46.42,72,-410
19576,296.87,21.67,44.53,77.94,-630
19601,289.87,31.99,43.48,83.74,-350
19626,278.87,22.51,41.83,89.32,-550
19651,271.67,29.19,40.75,94.75,-360
19676,261.47,21.82,39.22,99.98,-510
19701,254.87,28.18,38.23,105.08,-330
19726,245.47,21.32,36.82,109.98,-470
19751,239.67,27.79,35.95,114.78,-290
19776,230.67,20.18,34.6,119.39,-450
19801,224.87,25.85,33.73,123.89,-290
19826,216.27,19.09,32.44,128.21,-430
19852,210.47,23.94,31.57,132.42,-290
19876,201.87,17.17,30.28,136.46,-430
19901,196.47,22.88,29.47,140.39,-270
19926,188.67,17.03,28.3,144.16,-390
19951,183.87,22.42,27.58,147.84,-240
19976,176.67,16.64,26.5,151.38,-360
20001,171.87,20.83,25.78,154.81,-240
20026,166.87,19.78,25.03,158.15,-250
20051,159.67,14.39,23.95,161.34,-360
20076,155.27,19.42,23.29,164.45,-220
20101,148.47,13.69,22.27,167.42,-340
20126,144.27,18.35,21.64,170.3,-210
20151,138.07,13.5,20.71,173.07,-310
20176,134.07,17.38,20.11,175.75,-200
20202,127.47,11.27,19.12,178.3,-330
20226,123.67,16.37,18.55,180.77,-190
20251,120.07,16.31,18.01,183.17,-180
20276,114.07,10.67,17.11,185.45,-300
20301,110.67,15.43,16.6,187.67,-170
20326,105.47,11.11,15.82,189.78,-260
20351,102.07,14.27,15.31,191.82,-170
20376,97.47,11.23,14.62,193.77,-230
20401,94.27,13.61,14.14,195.65,-160
20426,89.67,10.17,13.45,197.45,-230
20451,86.67,12.98,13,199.18,-150
20476,82.67,10.43,12.4,200.83,-200
20501,79.87,12.45,11.98,202.43,-140
20526,75.67,9.07,11.35,203.94,-210
20552,73.07,11.92,10.96,205.41,-130
20576,69.07,8.56,10.36,206.79,-200
20601,66.47,11.01,9.97,208.12,-130
20626,62.67,8.08,9.4,209.37,-190
20651,60.27,10.56,9.04,210.58,-120
20676,56.67,7.65,8.5,211.71,-180
20701,54.67,10.59,8.2,212.8,-100
20726,51.27,7.31,7.69,213.83,-170
20751,49.07,9.41,7.36,214.81,-110
20776,46.27,7.81,6.94,215.73,-140
20801,44.27,9.14,6.64,216.62,-100
20826,41.27,6.71,6.19,217.45,-150
20851,39.47,8.87,5.92,218.24,-90
20876,37.47,8.19,5.62,218.98,-100
20901,34.47,5.76,5.17,219.67,-150
20926,32.67,7.91,4.9,220.33,-90
20951,29.87,5.51,4.48,220.93,-140
20976,28.27,7.69,4.24,221.49,-80
21001,25.87,5.74,3.88,222.01,-120
21025,24.47,7.55,3.67,222.5,-70
21049,22.87,6.92,3.43,222.95,-80
21073,20.47,4.97,3.07,223.36,-120
21097,19.07,6.77,2.86,223.75,-70
21121,17.67,6.57,2.65,224.1,-70
21145,15.07,3.79,2.26,224.4,-130
21169,13.87,6.42,2.08,224.68,-60
21193,12.67,6.25,1.9,224.93,-60
21217,10.67,4.36,1.6,225.15,-100
21241,9.47,5.78,1.42,225.33,-60
21265,8.27,5.61,1.24,225.5,-60
21289,6.47,4.14,0.97,225.63,-90
21314,5.27,5.16,0.79,225.74,-60
21338,3.67,4.13,0.55,225.81,-80
21362,2.47,4.75,0.37,225.86,-60
21388,1.27,4.57,0.19,225.88,-60
21412,-0.53,3.1,-0.08,225.87,-90
