Time,Error,Speed,Proportional,Integral,Derivative,ID
708,349.42,nan,349.42,0,-inf,LEFT
713,349.42,20,349.42,6.99,0,LEFT
719,349.42,20,349.42,13.98,0,LEFT
724,349.42,20,349.42,20.97,0,LEFT
729,349.42,20,349.42,27.95,0,LEFT
734,349.42,20,349.42,34.94,0,LEFT
740,349.42,20,349.42,41.93,0,LEFT
745,349.42,20,349.42,48.92,0,LEFT
750,349.42,20,349.42,55.91,0,LEFT
755,349.42,20,349.42,62.9,0,LEFT
761,349.42,20,349.42,69.88,0,LEFT
766,349.42,20,349.42,76.87,0,LEFT
773,349.42,20,349.42,83.86,0,LEFT
778,349.42,20,349.42,90.85,0,LEFT
785,349.42,20,349.42,97.84,0,LEFT
791,349.42,20,349.42,104.83,0,LEFT
797,349.42,20,349.42,111.82,0,LEFT
803,349.42,20,349.42,118.8,0,LEFT
809,349.42,20,349.42,125.79,0,LEFT
814,349.42,20,349.42,132.78,0,LEFT
820,349.42,20,349.42,139.77,0,LEFT
826,349.42,20,349.42,146.76,0,LEFT
832,349.42,20,349.42,153.75,0,LEFT
838,349.42,20,349.42,160.73,0,LEFT
867,348.62,20,348.62,167.71,-40,LEFT
875,348.62,20,348.62,174.68,0,LEFT
880,347.02,20,347.02,181.62,-80,LEFT
886,347.02,20,347.02,188.56,0,LEFT
892,346.22,20,346.22,195.48,-40,LEFT
899,346.22,20,346.22,202.41,0,LEFT
905,344.22,20,344.22,209.29,-100,LEFT
911,344.22,20,344.22,216.18,0,LEFT
916,343.02,20,343.02,223.04,-60,LEFT
922,343.02,20,343.02,229.9,0,LEFT
928,341.02,20,341.02,236.72,-100,LEFT
934,341.02,20,341.02,243.54,0,LEFT
940,339.82,20,339.82,250.34,-60,LEFT
945,339.82,20,339.82,257.13,0,LEFT
953,338.22,20,338.22,263.9,-80,LEFT
958,338.22,20,338.22,270.66,0,LEFT
964,336.22,20,336.22,277.39,-100,LEFT
970,336.22,20,336.22,284.11,0,LEFT
976,335.02,20,335.02,290.81,-60,LEFT
983,335.02,20,335.02,297.51,0,LEFT
989,333.02,20,333.02,304.17,-100,LEFT
995,333.02,20,333.02,310.83,0,LEFT
1000,331.82,20,331.82,317.47,-60,LEFT
1006,331.82,20,331.82,324.11,0,LEFT
1012,330.62,20,330.62,330.72,-60,LEFT
1018,330.62,20,330.62,337.33,0,LEFT
1025,328.22,20,328.22,343.9,-120,LEFT
1031,328.22,20,328.22,350.46,0,LEFT
1036,326.22,20,326.22,356.98,-100,LEFT
1042,326.22,20,326.22,363.51,0,LEFT
1048,323.82,20,323.82,369.98,-120,LEFT
1054,323.82,20,323.82,376.46,0,LEFT
1060,319.82,20,319.82,382.86,-200,LEFT
1067,319.82,20,319.82,389.25,0,LEFT
1073,317.02,20,317.02,395.59,-140,LEFT
1078,317.02,20,317.02,401.94,0,LEFT
1084,314.22,20,314.22,408.22,-140,LEFT
1090,314.22,20,314.22,414.5,0,LEFT
1097,311.42,20,311.42,420.73,-140,LEFT
1103,311.42,20,311.42,426.96,0,LEFT
1109,307.42,20,307.42,433.11,-200,LEFT
1114,307.42,20,307.42,439.26,0,LEFT
1120,305.02,20,305.02,445.36,-120,LEFT
1126,305.02,20,305.02,451.46,0,LEFT
1132,302.22,20,302.22,457.5,-140,LEFT
1138,302.22,20,302.22,463.55,0,LEFT
1145,298.62,20,298.62,469.52,-180,LEFT
1151,298.62,20,298.62,475.49,0,LEFT
1156,296.22,20,296.22,481.42,-120,LEFT
1162,296.22,20,296.22,487.34,0,LEFT
1168,292.62,20,292.62,493.19,-180,LEFT
1175,292.62,20,292.62,499.05,0,LEFT
1181,290.62,20,290.62,504.86,-100,LEFT
1187,290.62,20,290.62,510.67,0,LEFT
1192,287.02,20,287.02,516.41,-180,LEFT
1198,287.02,20,287.02,522.15,0,LEFT
1204,284.62,20,284.62,527.84,-120,LEFT
1210,284.62,20,284.62,533.54,0,LEFT
1216,281.82,20,281.82,539.17,-140,LEFT
1221,281.82,20,281.82,544.81,0,LEFT
1230,278.22,20,278.22,550.37,-180,LEFT
